date,variable,US,AU,CA,DE,FR,GB,IE,JP
2020-02-01,total postings,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-02-02,total postings,99.98,100.06,100.08,100.01,99.95,99.95,99.91,99.64
2020-02-03,total postings,99.97,100.22,100.12,100.13,100.03,100.01,99.83,99.54
2020-02-04,total postings,100.03,100.36,100.18,99.71,99.86,99.95,99.67,99.15
2020-02-05,total postings,100.12,100.39,100.3,99.91,99.84,99.98,99.62,98.89
2020-02-06,total postings,100.24,100.37,100.35,99.95,99.58,99.92,99.29,98.76
2020-02-07,total postings,100.2,100.13,100.47,99.96,99.34,99.96,99.06,98.64
2020-02-08,total postings,100.24,100.12,100.78,100.09,99.14,100.11,98.83,98.73
2020-02-09,total postings,100.23,100.02,101.02,100.15,98.95,100.19,98.73,98.88
2020-02-10,total postings,100.26,100.02,101.2,100.1,98.66,100.18,98.54,98.84
2020-02-11,total postings,100.23,100.11,101.38,100.4,98.42,100.1,97.68,98.94
2020-02-12,total postings,100.19,100.13,101.53,100.15,98.22,100.06,96.75,98.94
2020-02-13,total postings,100.12,100.16,101.63,99.91,98.18,100.1,95.97,99.04
2020-02-14,total postings,100.09,100.22,101.59,99.84,98.14,100.13,95.28,99.21
2020-02-15,total postings,99.8,100.15,101.31,99.37,97.88,99.75,94.61,99.34
2020-02-16,total postings,99.61,100.07,101.22,98.65,97.38,99.42,93.66,99.49
2020-02-17,total postings,99.39,99.9,101.13,98.39,97.11,99.27,92.92,99.61
2020-02-18,total postings,99.21,99.5,100.95,98.29,96.79,99.35,92.88,99.93
2020-02-19,total postings,98.98,99.25,100.73,98.26,96.56,99.3,92.83,100.36
2020-02-20,total postings,98.75,98.99,100.61,98.4,96.47,99.27,92.84,100.74
2020-02-21,total postings,98.54,98.71,100.56,98.61,96.26,99.22,92.84,101.06
2020-02-22,total postings,98.45,98.4,100.54,98.99,96.48,99.39,92.7,101.34
2020-02-23,total postings,98.41,98.22,100.51,99.72,96.94,99.55,92.86,101.62
2020-02-24,total postings,98.35,98.04,100.46,100.0,97.22,99.55,93.23,101.87
